date,ticker,price,decision,rsi,sentiment,reason
2026-02-03,DOT-USDT,1.5,buy,28.128171714714075,POSITIVE,"Bounce Entry"
2026-02-03,ETH-USDT,2233.72,buy,25.249100563990407,POSITIVE,"Bounce Entry"
2026-02-03,LTC-USDT,59.48,buy,27.30485879754824,POSITIVE,"Bounce Entry"
2026-02-03,SOL-USDT,97.89,buy,27.28355668503938,POSITIVE,"Bounce Entry"
2026-02-03,XRP-USDT,1.5791,buy,27.540914800182986,POSITIVE,"Bounce Entry"
2026-02-04,BNB-USDT,697.27,sell,21.894457198416077,NEGATIVE,"Stop Loss"
2026-02-04,BTC-USDT,73165.83,sell,22.890064301256093,NEGATIVE,"Negative Sentiment Exit"
2026-02-04,DOT-USDT,1.461,sell,26.79070519842638,NEGATIVE,"Negative Sentiment Exit"
2026-02-04,ETH-USDT,2148.26,sell,23.60399088290962,NEGATIVE,"Negative Sentiment Exit"
2026-02-04,LTC-USDT,58.89,sell,26.560234871954474,NEGATIVE,"Negative Sentiment Exit"
2026-02-04,SOL-USDT,92.12,sell,24.64085403714956,NEGATIVE,"Stop Loss"
2026-02-04,XRP-USDT,1.512,sell,24.890038456568284,NEGATIVE,"Negative Sentiment Exit"
2026-02-05,ADA-USDT,0.2455,buy,24.18057875671347,POSITIVE,"Bounce Entry"
2026-02-05,BNB-USDT,608.3,buy,16.452976423431934,POSITIVE,"Bounce Entry"
2026-02-05,BTC-USDT,62909.86,buy,15.816948790244947,POSITIVE,"Bounce Entry"
2026-02-05,DOGE-USDT,0.08849,buy,22.360994534877527,POSITIVE,"Bounce Entry"
2026-02-05,DOT-USDT,1.248,buy,20.935686359565178,POSITIVE,"Bounce Entry"
2026-02-05,ETH-USDT,1826.83,buy,18.675361458752633,POSITIVE,"Bounce Entry"
2026-02-05,LTC-USDT,50.79,buy,18.928403982363402,POSITIVE,"Bounce Entry"
2026-02-05,SOL-USDT,78.35,buy,19.72945505550368,POSITIVE,"Bounce Entry"
2026-02-05,XRP-USDT,1.2146,buy,17.054693095720662,POSITIVE,"Bounce Entry"
2026-02-06,ADA-USDT,0.2762,sell,35.38112019718264,NEGATIVE,"Take Profit"
2026-02-06,BNB-USDT,657.21,sell,27.169092160969793,NEGATIVE,"Take Profit"
2026-02-06,BTC-USDT,70580.26,sell,32.59315303320703,NEGATIVE,"Take Profit"
2026-02-06,DOGE-USDT,0.09848,sell,34.14899959333253,NEGATIVE,"Take Profit"
2026-02-06,DOT-USDT,1.368,sell,30.191955045648744,NEGATIVE,"Take Profit"
2026-02-06,ETH-USDT,2063.38,sell,30.22256806671942,NEGATIVE,"Take Profit"
2026-02-06,LTC-USDT,55.02,sell,30.206858805991093,NEGATIVE,"Take Profit"
2026-02-06,SOL-USDT,87.46,sell,29.711164583172696,NEGATIVE,"Take Profit"
2026-02-06,XRP-USDT,1.4698,sell,35.74658231434571,NEGATIVE,"Take Profit"
2026-02-10,BNB-USDT,619.85,buy,24.252163820538904,POSITIVE,"Bounce Entry"
2026-02-10,DOT-USDT,1.283,buy,27.502468350959287,POSITIVE,"Bounce Entry"
2026-02-10,LTC-USDT,53.38,buy,28.47898168256694,POSITIVE,"Bounce Entry"
2026-02-10,SOL-USDT,82.99,buy,27.5708636326579,POSITIVE,"Bounce Entry"
2026-02-11,BNB-USDT,608.11,sell,23.323683363272036,NEGATIVE,"Negative Sentiment Exit"
2026-02-11,DOT-USDT,1.256,sell,26.59093635053501,NEGATIVE,"Negative Sentiment Exit"
2026-02-11,LTC-USDT,52.32,sell,27.20890990331448,NEGATIVE,"Negative Sentiment Exit"
2026-02-11,SOL-USDT,79.3,sell,25.833054079117584,NEGATIVE,"Negative Sentiment Exit"
2026-02-13,BNB-USDT,599.2,buy,23.63240179636758,POSITIVE,"Bounce Entry"
2026-02-13,DOT-USDT,1.276,buy,28.843302241228518,POSITIVE,"Bounce Entry"
2026-02-13,ETH-USDT,1962.32,buy,29.633351184126138,POSITIVE,"Bounce Entry"
2026-02-13,SOL-USDT,80.09,buy,27.790509207770725,POSITIVE,"Bounce Entry"
